Month (month),State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
01-08-23,Karnataka,29,"Brookebond P.Ltd, Kundalahalli",Israel,P4,Telecom Instruments,None,0,383,31684
01-05-19,Karnataka,29,Bangalore Airport,Korea Rp,P4,Telecom Instruments,None,0,1941348,135453835
01-02-22,Tamil Nadu,33,Chennai Air,U K,K7,Packaging Materials,Ton,0,5454,409057
01-01-20,Gujarat,24,Icd Sabarmati,Italy,I7,Residul Chemicl And Alled Prod,None,0,81043,5779468
01-12-19,Maharashtra,27,Mumbai Air,Germany,I7,Residul Chemicl And Alled Prod,None,0,7951563,566092442
01-07-18,Delhi,7,Cfs Patparganj,China P Rp,J3,"Graphite, Explsivs And Accesor",Kgs,9040,53458,3672198
01-02-23,Rajasthan,8,Icd Kanakpura,Taiwan,K9,"Plastc Sht, Film, Plts Etc",Kgs,120,4384,362120
01-12-21,Delhi,7,Cfs Patparganj,Vietnam Soc Rep,Q6,Rmg Cotton Incl Accessories,None,0,16561,1248262
01-03-19,Tamil Nadu,33,Chennai Air,U Arab Emts,I6,Essential Oils,Kgs,770,14176,984929
01-05-20,Haryana,6,Icd Piyala Ballagarh,Spain,M1,Zinc And Products Made Of Zinc,Ton,26,42723,3232445
01-07-18,Tamil Nadu,33,Chennai Air,Italy,I8,Auto Tyres And Tubes,Nos,4,702,48208
01-09-20,Maharashtra,27,Mumbai Air,U S A,K1,Plywood And Allied Products,None,0,9336,686048
01-05-19,Tamil Nadu,33,Kattupalli Port/ Tiruvallur,Singapore,N5,Ic Engines And Parts,None,0,6744960,470616779
01-11-18,Uttar Pradesh,9,"Icd Panki, Up",China P Rp,N4,Electric Machinery And Equipme,None,0,22396,1609249
01-02-20,Delhi,7,Delhi Air,Germany,P3,Electronics Instruments,None,0,4995916,357150576
01-03-22,Tamil Nadu,33,Flextronics Techn Sez  Sriperu,China P Rp,L2,Other Plastic Items,None,0,181066,13805306
01-12-21,Karnataka,29,Bangalore Airport,Israel,O1,Other Misc. Engineering Items,None,0,257688,19422481
01-02-23,Tamil Nadu,33,Chennai Air,Spain,M2,Oth Non Ferous Metal And Prodc,Kgs,71,5257,434246
01-07-20,Gujarat,24,"Hazira Port, Surat",Italy,J9,"Paper, Paper Board And Product",None,0,74121,5558596
01-10-23,Tamil Nadu,33,Chennai Epz,Singapore,I7,Residul Chemicl And Alled Prod,None,0,182370,15179636
01-09-23,Maharashtra,27,Dpcc Mumbai,Canada,G5,"Pearl, Precs, Semiprecs Stones",None,0,150691,12514488
01-07-22,Karnataka,29,Bangalore Airport,Belgium,K7,Packaging Materials,Ton,0,4,291
01-04-22,Maharashtra,27,Nhava Sheva Sea,Slovenia,H1,Sports Goods,None,0,5053,384875
01-01-22,West Bengal,19,Kolkata Sea,Bulgaria,I2,Inorganic Chemicals,Kgs,840000,227392,16927437
01-05-19,Karnataka,29,Bangalore Airport,France,H5,"Bulk Drugs, Drug Intermediates",Kgs,161,694468,48455200
01-08-18,Andhra Pradesh,28,Sri City Pvt Ltd,Poland,N6,Indl. Machnry For Dairy Etc,None,0,51128,3555799
01-10-23,Uttar Pradesh,9,Sez Noida,Germany,K6,Moulded And Extruded Goods,None,0,15169,1262576
01-11-22,Punjab,3,Icd Chowpayal,Tanzania Rep,L3,Iron And Steel,Ton,71,34385,2813017
01-08-23,Maharashtra,27,Seepz,Israel,J6,Glass And Glassware,None,0,252,20900
01-08-21,Maharashtra,27,Seepz,Netherland,J9,"Paper, Paper Board And Product",None,0,1,75
01-07-23,Maharashtra,27,Nhava Sheva Sea,Taiwan,F2,Bulk Minerals And Ores,Kgs,95834,482926,39673278
01-03-21,Karnataka,29,Bangalore Airport,Netherland,L2,Other Plastic Items,None,0,6879,500721
01-06-23,West Bengal,19,Kolkata Air,Puerto Rico,I9,Othr Rubber Prodct Excpt Footw,None,0,1130,92933
01-07-20,Karnataka,29,Bangalore Airport,Belgium,L8,"Nickel, Product Made Of Nickel",Ton,0,3771,282783
01-04-19,Maharashtra,27,Nhava Sheva Sea,Israel,Q3,"Manmade Yarn,Fabrics,Madeups",None,0,13007,903025
01-09-22,Uttar Pradesh,9,Sez Noida,China P Rp,G5,"Pearl, Precs, Semiprecs Stones",None,0,6894,553105
01-01-23,Uttar Pradesh,9,Icd Noida-Dadri,Korea Rp,L6,Copper And Prdcts Made Of Copr,None,0,447873,36680638
01-10-19,Delhi,7,Delhi Air,Philippines,Q8,Rmg Manmade Fibres,None,0,2568,182408
01-10-19,Delhi,7,Delhi (Icd),Vietnam Soc Rep,M6,"Hnd Tool, Cttng Tool Of Metals",None,0,11138,791256
01-03-19,Kerala,32,Trivandrum Airport,Hong Kong,P3,Electronics Instruments,None,0,130397,9059812
01-12-18,Delhi,7,Delhi Air,U Arab Emts,N4,Electric Machinery And Equipme,None,0,698383,49397384
01-08-18,Maharashtra,27,Mumbai Air,Netherland,N6,Indl. Machnry For Dairy Etc,None,0,812885,56533307
01-02-19,Tamil Nadu,33,Chennai Sea,Netherland,J8,Newsprint,Ton,25,16545,1178390
01-12-22,Gujarat,24,Icd Sabarmati,Germany,L5,"Aluminium, Products Of Aluminm",Ton,326,728039,60037130
01-07-22,Tamil Nadu,33,Elec Corp Tn Kanchepuram,U K,P1,Consumer Electronics,None,0,11551,919496
01-11-20,Delhi,7,Delhi Air,Japan,K1,Plywood And Allied Products,None,0,1580,117236
01-05-22,Delhi,7,Delhi Air,Indonesia,M3,Auto Components/Parts,None,0,31202,2412511
01-01-24,West Bengal,19,Kolkata Air,China P Rp,K9,"Plastc Sht, Film, Plts Etc",Kgs,1545,15173,1261182
01-10-23,Rajasthan,8,Icd Kanakpura,Saudi Arab,L7,Lead And Products Made Of Led,Ton,47,122706,10213460
01-12-21,Delhi,7,Delhi (Icd),France,D2,Cereal Preparations,Ton,0,502,37825
01-02-20,Haryana,6,Icd Piyala Ballagarh,Malaysia,K8,Plastic Raw Materials,Ton,25,25550,1826538
01-02-18,Gujarat,24,Mundra,Belgium,O6,"Railwy Trnsprt Equipmnts, Prts",None,0,5002,322000
01-05-21,Maharashtra,27,"Arshiya Intl. Ftwz-Sez, Raigad",U S A,P4,Telecom Instruments,None,0,418703,30677400
01-11-23,Gujarat,24,Epz/Sez Surat,Switzerland,K7,Packaging Materials,Ton,0,30,2523
01-02-24,Uttar Pradesh,9,Cgml Dadri,Brazil,I3,Organic Chemicals,Kgs,36000,259887,21561120
01-01-18,Karnataka,29,Bangalore Airport,Israel,ZZ,Other Commodities,None,0,5644,359137
01-12-19,Karnataka,29,Icd Bangalore,China P Rp,Q8,Rmg Manmade Fibres,None,0,323663,23042411
01-06-18,Gujarat,24,Ahmedabad Air Cargo Complex,U K,M2,Oth Non Ferous Metal And Prodc,None,0,3289,222997
01-07-22,Haryana,6,Icd Garhiharsaru,Philippines,K9,"Plastc Sht, Film, Plts Etc",Kgs,786,3378,268894
01-02-19,Tamil Nadu,33,Chennai Air,U S A,Q3,"Manmade Yarn,Fabrics,Madeups",None,0,93056,6627629
01-03-18,Tamil Nadu,33,Icd Irungattukottai,Turkey,N6,Indl. Machnry For Dairy Etc,None,0,133527,8682115
01-09-19,Tamil Nadu,33,Hi Tech Infra P Ltd Coimbatore,U S A,O2,Prime Mica And Mica Products,None,0,1812,129234
01-01-21,Gujarat,24,Mundra,Vietnam Soc Rep,I2,Inorganic Chemicals,Kgs,1125000,291976,21346217
01-12-21,Maharashtra,27,"Arshiya Intl. Ftwz-Sez, Raigad",Russia,N4,Electric Machinery And Equipme,None,0,3648,274976
01-09-19,Maharashtra,27,Nhava Sheva Sea,Mexico,F4,Processed Minerals,Kgs,154500,193163,13779009
01-01-24,Telangana,36,Hyderabad Airport,Germany,J5,Ceramics And Allied Products,None,0,47941,3984880
01-03-24,Kerala,32,Cessana Business Park Cochin,Vietnam Soc Rep,O9,"Computer Hardware, Peripherals",None,0,9255,768173
01-09-21,Maharashtra,27,Mumbai Sea,Italy,M7,Machine Tools,None,0,887022,65252352
01-12-22,Tamil Nadu,33,Chennai Air,Hong Kong,L5,"Aluminium, Products Of Aluminm",Ton,1,301143,24833584
01-02-18,Haryana,6,Icd Faridabad,Thailand,I8,Auto Tyres And Tubes,Nos,536,75530,4862153
01-01-19,Haryana,6,Icd Garhiharsaru,Singapore,N1,"Ac, Refrigeration Machnry Etc",None,0,167316,11834779
01-11-23,Tamil Nadu,33,Suzlon Ap Infra Sez Coimbatore,Belgium,M3,Auto Components/Parts,None,0,52,4304
01-04-19,Haryana,6,Icd Garhiharsaru,Israel,Q8,Rmg Manmade Fibres,None,0,5011,347928
01-06-22,Maharashtra,27,Mumbai Air,Austria,H5,"Bulk Drugs, Drug Intermediates",Kgs,4283,337400,26342377
01-07-20,Kerala,32,Cochin Airport,Singapore,S6,Petroleum Products,Ton,0,489,36689
01-03-19,West Bengal,19,Kolkata Sea,Singapore,L3,Iron And Steel,Ton,609,739609,51386985
01-09-22,Gujarat,24,Mundra,Turkey,L4,Products Of Iron And Steel,None,0,157263,12617471
01-12-19,Karnataka,29,Icd Bangalore,Hong Kong,K9,"Plastc Sht, Film, Plts Etc",Kgs,21474,267066,19013116
01-06-21,Karnataka,29,Bangalore Airport,Denmark,O9,"Computer Hardware, Peripherals",None,0,3141,231060
01-02-22,West Bengal,19,Kolkata Air,Japan,F8,Finished Leather,Kgs,79,795,59608
01-07-18,Delhi,7,Cfs Patparganj,U S A,ZZ,Other Commodities,None,0,151676,10419149
01-05-24,Tamil Nadu,33,Chennai Sea,Vietnam Soc Rep,H5,"Bulk Drugs, Drug Intermediates",Kgs,17600,257862,21505579
01-09-23,Haryana,6,Icd Sonipat,Sweden,J9,"Paper, Paper Board And Product",None,0,1019901,84700268
01-02-18,Gujarat,24,Ahmedabad Air Cargo Complex,Japan,J2,"Paint, Varnish And Allid Prodc",Kgs,43,1249,80431
01-01-24,Haryana,6,Icd Faridabad,China P Rp,ZZ,Other Commodities,None,0,576164,47891346
01-06-23,Tamil Nadu,33,J Matadee Chennai,Spain,P4,Telecom Instruments,None,0,911,74893
01-03-22,Telangana,36,Hyderabad Airport,Japan,N7,"Atm, Injctng Mlding Mchnry Etc",Kgs,2,2305,175768
01-10-23,Gujarat,24,Sez Mundra,Turkey,J6,Glass And Glassware,None,0,547,45529
01-06-18,Telangana,36,Hyderabad Airport,Malaysia,O1,Other Misc. Engineering Items,None,0,488,33112
01-04-19,Maharashtra,27,Telegaon,China P Rp,I9,Othr Rubber Prodct Excpt Footw,None,0,76,5273
01-11-18,Punjab,3,Icd Ludhiana,Taiwan,N4,Electric Machinery And Equipme,None,0,3837,275681
01-11-20,Gujarat,24,Mega It Sez Gidc Gandhinagar,Czech Republic,J6,Glass And Glassware,None,0,2081,154457
01-06-19,Rajasthan,8,"Icd Thar Dry Port, Jodhpur",China P Rp,P2,Electronics Components,None,0,9440290,655523353
01-08-21,Maharashtra,27,Nhava Sheva Sea,Denmark,I5,Cosmetics And Toiletries,Kgs,10560,15303,1135219
01-02-23,West Bengal,19,Kolkata Air,U S A,M4,Electrodes,Kgs,15,6986,577072
01-12-23,Delhi,7,Delhi (Icd),Thailand,J5,Ceramics And Allied Products,None,0,63628,5298832
01-05-19,Haryana,6,Icd Patli,Hong Kong,P2,Electronics Components,None,0,129784,9055432
01-12-23,Uttar Pradesh,9,"Icd Panki, Up",U Arab Emts,F2,Bulk Minerals And Ores,Kgs,766020,76106,6338018
01-11-18,Maharashtra,27,Seepz,U S A,K8,Plastic Raw Materials,Ton,0,10405,747608
01-03-19,Maharashtra,27,Nhava Sheva Sea,Australia,O6,"Railwy Trnsprt Equipmnts, Prts",None,0,98336,6832225
01-04-22,West Bengal,19,Kolkata Sea,Vietnam Soc Rep,P3,Electronics Instruments,None,0,140975,10737724
01-10-21,Telangana,36,"Gmr Hyd. Aviation Ltd, Sez",Singapore,L8,"Nickel, Product Made Of Nickel",Ton,0,30,2261
01-05-21,Andhra Pradesh,28,Visakhapatnam Spl Economic Zon,China P Rp,J9,"Paper, Paper Board And Product",None,0,214,15696
01-10-23,Tamil Nadu,33,Chennai Air,Hong Kong,J1,Footwear Of Rubber/Canvas Etc.,None,0,8309,691598
01-04-21,Delhi,7,Delhi Air,Austria,P3,Electronics Instruments,None,0,1198785,89276214
01-12-18,Kerala,32,Cochin Airport,U S A,N1,"Ac, Refrigeration Machnry Etc",None,0,109639,7754915
01-03-20,Haryana,6,Icd Patli,Japan,L3,Iron And Steel,Ton,25,58574,4355024
01-10-19,Maharashtra,27,Mumbai Sea,Italy,L3,Iron And Steel,Ton,156,231303,16431604
01-02-24,Maharashtra,27,Dighi Port Mumbai,Oman,S6,Petroleum Products,Ton,5991,2097819,174042622
01-01-20,Tamil Nadu,33,Sipct Ele Hw Hite Sez Oragadam,Israel,L6,Copper And Prdcts Made Of Copr,None,0,1588,113256
01-12-22,Telangana,36,Hyderabad Airport,U K,E6,Alcoholic Beverages,Ltr,600,15767,1300225
01-12-22,Uttar Pradesh,9,Cfs Startrack Dadri,China P Rp,O9,"Computer Hardware, Peripherals",None,0,48137,3969600
01-05-24,Tamil Nadu,33,Chennai Air,Czech Republic,P2,Electronics Components,None,0,302810,25254202
01-12-21,West Bengal,19,Kolkata Sea,Canada,I2,Inorganic Chemicals,Kgs,6000,19014,1433138
01-12-22,Madhya Pradesh,23,Icd Dhannad,Mozambique,L3,Iron And Steel,Ton,344,162952,13437733
01-11-21,Karnataka,29,Bangalore Airport,China P Rp,I7,Residul Chemicl And Alled Prod,None,0,4439570,330732393
01-05-24,Gujarat,24,Icd Sabarmati,Japan,M3,Auto Components/Parts,None,0,547815,45687461
01-09-22,Delhi,7,Delhi Air,Turkey,P9,"Oth Txtl Yrn, Fbric Mdup Artcl",None,0,10847,870310
01-09-19,Haryana,6,Icd Patli,Japan,L2,Other Plastic Items,None,0,214110,15273250
01-03-19,Delhi,7,Cfs Patparganj,Japan,M9,Office Equipments,None,0,21380,1485472
01-01-21,Gujarat,24,Mundra,Qatar,I9,Othr Rubber Prodct Excpt Footw,None,0,69418,5075144
01-10-19,Maharashtra,27,Nhava Sheva Sea,Poland,L5,"Aluminium, Products Of Aluminm",Ton,9,612355,43501364
01-02-21,Tamil Nadu,33,Kattupalli Port/ Tiruvallur,Germany,M3,Auto Components/Parts,None,0,5978558,434978943
01-05-18,West Bengal,19,Kolkata Air,China P Rp,G5,"Pearl, Precs, Semiprecs Stones",None,0,13303,898491
01-05-22,Karnataka,29,Bangalore Airport,Denmark,P2,Electronics Components,None,0,309856,23957892
01-10-18,Gujarat,24,Mundra,South Africa,M1,Zinc And Products Made Of Zinc,Ton,41,86012,6333227
01-08-21,Maharashtra,27,Icd Tumb,Turkey,J9,"Paper, Paper Board And Product",None,0,262925,19505007
01-05-23,Maharashtra,27,Mumbai Air,Mexico,K9,"Plastc Sht, Film, Plts Etc",Kgs,353,31926,2628873
01-12-21,Uttar Pradesh,9,Cgml Dadri,Netherland,L6,Copper And Prdcts Made Of Copr,None,0,69979,5274525
01-10-23,Gujarat,24,Epz/Sez Surat,Taiwan,P2,Electronics Components,None,0,422460,35163621
01-10-22,Maharashtra,27,Seepz,Poland,P2,Electronics Components,None,0,46,3817
01-09-18,Gujarat,24,"Pharma Dev By Zydus, Ahmedabad",Belgium,H8,"Drug Formulations, Biologicals",Kgs,2,1603,115740
01-03-24,West Bengal,19,Kolkata Air,Netherland,O9,"Computer Hardware, Peripherals",None,0,148647,12337296
01-06-24,Karnataka,29,Kiadb Pharmaceutical Sez,China P Rp,N1,"Ac, Refrigeration Machnry Etc",None,0,67,5564
01-10-23,Delhi,7,Delhi (Icd),Germany,L3,Iron And Steel,Ton,0,824,68579
01-01-21,Maharashtra,27,Nhava Sheva Sea,Japan,B1,Spices,Kgs,198,1810,132323
01-11-21,West Bengal,19,Kolkata Sea,Brazil,I7,Residul Chemicl And Alled Prod,None,0,156763,11678306
01-04-23,Tamil Nadu,33,Chennai Sea,Netherland,P1,Consumer Electronics,None,0,1206,98956
01-07-21,Delhi,7,Delhi Air,Netherland,H1,Sports Goods,None,0,7685,572761
01-12-18,Uttar Pradesh,9,"Icd Panki, Up",China P Rp,M6,"Hnd Tool, Cttng Tool Of Metals",None,0,907,64162
01-02-21,Maharashtra,27,Nhava Sheva Sea,Korea Rp,N2,Bicycle And Parts,None,0,2737,199148
01-05-22,West Bengal,19,Kolkata Sea,Germany,L6,Copper And Prdcts Made Of Copr,None,0,597719,46215229
01-02-19,Gujarat,24,Mundra,Nigeria,H4,Ayush And Herbal Products,Kgs,6000,8552,609063
01-06-18,Tamil Nadu,33,Sipct Ele Hw Hite Sez Oragadam,China P Rp,N7,"Atm, Injctng Mlding Mchnry Etc",None,0,494,33517
01-07-20,Tamil Nadu,33,Icd Tuticorin,Japan,N6,Indl. Machnry For Dairy Etc,None,0,521768,39129175
01-07-24,Karnataka,29,Bangalore Airport,Netherland,O9,"Computer Hardware, Peripherals",None,0,647901,54161066
01-08-23,Karnataka,29,Quest Sez Balgaom Karnataka,Poland,L4,Products Of Iron And Steel,None,0,90359,7480421
01-05-18,West Bengal,19,Kolkata Sea,Korea Rp,S6,Petroleum Products,Ton,1,7393,499300
01-01-19,Delhi,7,Delhi (Icd),Thailand,J7,"Books, Publications And Prntng",None,0,95028,6721595
01-02-24,Delhi,7,Delhi Air,Australia,E7,Marine Products,Kgs,5224,65125,5402983
01-02-22,Maharashtra,27,Nhava Sheva Sea,Germany,I3,Organic Chemicals,Kgs,1653340,7724790,579383339
01-01-18,Maharashtra,27,"Arshiya Intl. Ftwz-Sez, Raigad",China P Rp,H7,Dyes,Kgs,3000,16268,1035225
01-09-18,Punjab,3,Amritsar Rly.Stn.,Pakistan Ir,O1,Other Misc. Engineering Items,None,0,390,28187
01-06-21,Maharashtra,27,Nhava Sheva Sea,Ethiopia,B7,Other Oil Seeds,Ton,7160,6233799,458547631
01-07-20,Gujarat,24,Icd Sabarmati,Austria,N4,Electric Machinery And Equipme,None,0,91359,6851334
01-11-22,Gujarat,24,Mundra,Morocco,Q4,"Wool, Raw",Kgs,74330,35816,2930130
01-08-22,Telangana,36,"Gmr Hyd. Aviation Ltd, Sez",Israel,P2,Electronics Components,None,0,25316,2014052
01-09-21,Tamil Nadu,33,Mahindra City Auto Anci Sez Tn,Switzerland,M6,"Hnd Tool, Cttng Tool Of Metals",None,0,6540,481087
01-11-19,Karnataka,29,Bangalore Airport,Russia,N6,Indl. Machnry For Dairy Etc,None,0,30088,2149855
01-12-22,Haryana,6,Icd Samalkha Panipat,China P Rp,Q8,Rmg Manmade Fibres,None,0,3572,294585
01-08-23,Uttarakhand,5,Icd Sandkheda Kashipur,Nigeria,K8,Plastic Raw Materials,Ton,34,14895,1233121
01-03-20,Maharashtra,27,Nhava Sheva Sea,Singapore,I6,Essential Oils,Kgs,15605,228218,16968199
01-05-22,Karnataka,29,Bangalore Airport,Japan,K6,Moulded And Extruded Goods,None,0,181914,14065468
01-04-24,Delhi,7,Delhi Air,Ireland,H5,"Bulk Drugs, Drug Intermediates",Kgs,450,6234,519937
01-09-19,Maharashtra,27,Nhava Sheva Sea,Italy,I7,Residul Chemicl And Alled Prod,None,0,11691076,833967691
01-09-18,Tamil Nadu,33,J Matadee Chennai,Malaysia,K1,Plywood And Allied Products,None,0,301972,21806999
01-04-24,Uttar Pradesh,9,Star Track Terminal Pvt Ltd Ic,U Arab Emts,L5,"Aluminium, Products Of Aluminm",Ton,263,513989,42869696
01-12-18,Uttar Pradesh,9,Cfs Startrack Dadri,Brazil,L3,Iron And Steel,Ton,28,15804,1117813
